GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
javaTest1,com.example,App,7,0,0,0,3,0,2,0,2,0
javaTest1,com.example.testing,Calculator,11,48,0,4,4,12,2,7,2,5
